chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR000230	AT1G02100	389812	392816	AT1G02100	Leucine carboxyl methyltransferase [Source:EMBL;Acc:AEE27382.1]	1
CARHR000240	AT1G02090	387277	389647	CSN7	COP9 signalosome complex subunit 7 [Source:EMBL;Acc:AEE27381.1]	1
CARHR000250	AT1G02080	373335	386847	AT1G02080	CCR4-NOT transcription complex subunit 1 [Source:EMBL;Acc:AEE27378.1]	1
CARHR000260	AT1G02070	370257	370967	AT1G02070	uncharacterized protein [Source:EMBL;Acc:AEE27375.1]	1
CARHR000270	AT1G02065	365209	367340	SPL8	squamosa promoter-binding-like protein 8 [Source:EMBL;Acc:AEE27373.1]	1
CARHR000280	AT1G02060	360918	363094	AT1G02060	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27372.1]	1
CARHR000290	AT1G02050	359117	360518	LAP6	Chalcone and stilbene synthase family protein [Source:EMBL;Acc:AEE27371.1]	1
CARHR000300	AT1G02040	358104	359078	AT1G02040	C2H2-type zinc finger protein [Source:EMBL;Acc:AEE27370.1]	1
CARHR000330	AT1G02020	352637	354969	AT1G02020	nitroreductase-like protein [Source:EMBL;Acc:AEE27368.1]	1
CARHR000340	AT1G02030	355321	357258	AT1G02030	C2H2-like zinc finger protein [Source:EMBL;Acc:AEE27369.1]	1
CARHR000350	AT1G02010	347891	352480	SEC1A	protein transport sec1a [Source:EMBL;Acc:AEE27366.1]	1
CARHR000360	AT1G02000	345812	347592	GAE2	UDP-D-glucuronate 4-epimerase 2 [Source:EMBL;Acc:AEE27364.1]	1
CARHR000370	AT1G01980	340172	341999	AT1G01980	FAD-binding and BBE domain-containing protein [Source:EMBL;Acc:AEE27362.1]	1
CARHR000380	AT1G01970	338291	340077	AT1G01970	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27361.1]	1
CARHR000390	AT1G01960	330588	337582	EDA10	SEC7-like guanine nucleotide exchange protein [Source:EMBL;Acc:AEE27360.1]	1
CARHR000400	AT1G01950	325379	330619	ARK2	armadillo repeat-containing kinesin-like protein 2 [Source:EMBL;Acc:AEE27358.1]	1
CARHR000410	AT1G01940	323027	324917	AT1G01940	peptidyl-prolyl cis-trans isomerase-like 3 [Source:EMBL;Acc:AEE27356.1]	1
CARHR000430	AT1G01930	319836	322860	AT1G01930	zinc finger protein-like protein [Source:EMBL;Acc:AEE27355.1]	1
CARHR000440	AT1G01920	316128	319650	AT1G01920	SET domain-containing protein [Source:EMBL;Acc:AEE27354.1]	1
CARHR000450	AT1G01910	313101	315902	AT1G01910	putative anion-transporting ATPase [Source:EMBL;Acc:AEE27350.1]	1
CARHR000460	AT1G01900	310316	313130	ATSBT1.1	subtilase-like protein [Source:EMBL;Acc:AEE27347.1]	1
CARHR000470	AT1G01880	306480	309109	AT1G01880	5-3 exonuclease-like protein [Source:EMBL;Acc:AEE27345.1]	1
CARHR000480	AT1G01860	304133	306287	PFC1	Ribosomal RNA adenine dimethylase family protein [Source:EMBL;Acc:AEE27344.1]	1
CARHR000490	AT1G01840	303537	304358	AT1G01840	uncharacterized protein [Source:EMBL;Acc:AEE27343.1]	1
CARHR000500	AT1G01830	298535	302315	AT1G01830	armadillo/beta-catenin-like repeat-containing protein [Source:EMBL;Acc:AEE27342.1]	1
CARHR000520	AT1G01800	293342	295040	AT1G01800	Rossmann-fold NAD(P)-binding domain-containing protein [Source:EMBL;Acc:AEE27337.1]	1
CARHR000530	AT1G01790	284610	291094	KEA1	K(+) efflux antiporter 1 [Source:EMBL;Acc:AEE27335.1]	1
CARHR000540	AT1G01780	282761	284245	AT1G01780	LIM domain-containing protein [Source:EMBL;Acc:AEE27334.1]	1
CARHR000550	AT1G01770	278615	282891	AT1G01770	uncharacterized protein [Source:EMBL;Acc:AEE27333.1]	1
CARHR000560	AT1G01760	276266	278448	AT1G01760	Adenosine-deaminase (editase) domain-containing protein [Source:EMBL;Acc:AEE27332.1]	1
CARHR000570	AT1G01750	275366	276310	ADF11	actin depolymerizing factor 11 [Source:EMBL;Acc:AEE27331.1]	1
CARHR000580	AT1G01740	272111	274569	AT1G01740	tetratricopeptide repeat domain-containing protein kinase [Source:EMBL;Acc:AEE27329.1]	1
CARHR000600	AT1G01725	269792	270775	AT1G01725	uncharacterized protein [Source:EMBL;Acc:AEE27327.1]	1
CARHR000620	AT1G01720	268330	269819	ATAF1	NAC domain-containing protein 2 [Source:EMBL;Acc:AEE27326.1]	1
CARHR000630	AT1G01710	262828	267771	AT1G01710	palmitoyl-CoA hydrolase [Source:EMBL;Acc:AEE27325.1]	1
CARHR000650	AT1G01700	259495	261474	ATROPGEF2	Rop guanine nucleotide exchange factor 2 [Source:EMBL;Acc:AEE27324.1]	1
CARHR000670	AT1G01690	249141	252462	ATPRD3	putative recombination initiation defects 3 [Source:EMBL;Acc:AEE27322.1]	1
CARHR000680	AT1G01680	246411	248367	ATPUB54	U-box domain-containing protein 54 [Source:EMBL;Acc:AEE27321.1]	1
CARHR000690	AT1G01660	240057	242608	AT1G01660	putative U-box domain-containing protein 55 [Source:EMBL;Acc:AEE27319.1]	1
CARHR000700	AT1G01650	232841	237817	SPPL4	signal peptide peptidase-like 4 [Source:EMBL;Acc:AEE27318.1]	1
CARHR000710	AT1G01640	230994	232508	AT1G01640	BTB/POZ domain-containing protein [Source:EMBL;Acc:AEE27316.1]	1
CARHR000720	AT1G01630	229013	230917	AT1G01630	protein sec fourteen-like protein-20 [Source:EMBL;Acc:AEE27314.1]	1
CARHR000730	AT1G01620	225665	227302	PIP1;3	aquaporin PIP1-3 [Source:EMBL;Acc:AEE27313.1]	1
CARHR000740	AT1G01610	221691	224340	ATGPAT4	glycerol-3-phosphate acyltransferase [Source:EMBL;Acc:AEE27311.1]	1
CARHR000750	AT1G01600	218994	221286	CYP86A4	cytochrome P450, family 86, subfamily A, polypeptide 4 [Source:EMBL;Acc:AEE27310.1]	1
CARHR000760	AT1G01590	214229	217304	FRO1	ferric reduction oxidase 1 [Source:EMBL;Acc:AEE27309.1]	1
CARHR000770	AT1G01580	209395	213041	FRD1	ferric reduction oxidase 2 [Source:EMBL;Acc:AEE27308.1]	1
CARHR000790	AT1G01570	205176	207435	AT1G01570	uncharacterized protein [Source:EMBL;Acc:AEE27307.1]	1
CARHR000800	AT1G01560	202136	204335	MPK11	mitogen-activated protein kinase 11 [Source:EMBL;Acc:AEE27305.1]	1
CARHR000810	AT1G01550	199639	201775	BPS1	protein BPS1 [Source:EMBL;Acc:AEE27304.1]	1
CARHR000850	AT1G01520	190596	192139	AT1G01520	myb family transcription factor [Source:EMBL;Acc:AEE27299.1]	1
CARHR000860	AT1G01510	187211	190056	AN	Rossmann-fold NAD(P)-binding domain-containing protein [Source:EMBL;Acc:AEE27298.1]	1
CARHR000870	AT1G01500	185133	186923	AT1G01500	Erythronate-4-phosphate dehydrogenase-like protein [Source:EMBL;Acc:AEE27297.1]	1
CARHR000880	AT1G01490	180059	182358	AT1G01490	heavy-metal-associated domain-containing protein [Source:EMBL;Acc:AEE27296.1]	1
CARHR000890	AT1G01480	175782	178400	ACS2	1-aminocyclopropane-1-carboxylate synthase 2 [Source:EMBL;Acc:AEE27294.1]	1
CARHR000900	AT1G01470	172146	172948	LEA14	putative desiccation-related protein LEA14 [Source:EMBL;Acc:AEE27291.1]	1
CARHR000910	AT1G01460	168723	171165	PIPK11	phosphatidylinositol-4-phosphate 5-kinase 10 [Source:EMBL;Acc:AEE27290.1]	1
CARHR000970	AT1G01453	166589	167842	AT1G01453	uncharacterized protein [Source:EMBL;Acc:AEE27289.1]	1
CARHR000990	AT1G01450	164105	165517	AT1G01450	protein kinase-like protein [Source:EMBL;Acc:AEE27287.1]	1
CARHR001000	AT1G01440	159856	162572	AT1G01440	uncharacterized protein [Source:EMBL;Acc:AEE27286.1]	1
CARHR001010	AT1G01430	156801	158655	TBL25	protein trichome birefringence-like 25 [Source:EMBL;Acc:AEE27285.1]	1
CARHR001050	AT1G01420	154492	156011	UGT72B3	hydroquinone glucosyltransferase [Source:EMBL;Acc:AEE27284.1]	1
CARHR001060	AT1G01380	147153	147942	ETC1	proto-oncogene protein [Source:EMBL;Acc:AEE27280.1]	1
CARHR001070	AT1G01370	143564	145684	HTR12	histone H3 [Source:EMBL;Acc:AEE27279.1]	1
CARHR001080	AT1G01360	141971	143183	RCAR1	abscisic acid receptor PYL9 [Source:EMBL;Acc:AEE27277.1]	1
CARHR001090	AT1G01350	136124	138162	AT1G01350	zinc finger CCCH domain-containing protein 1 [Source:EMBL;Acc:AEE27275.1]	1
CARHR001110	AT1G01340	132328	135831	CNGC10	cyclic nucleotide gated channel [Source:EMBL;Acc:AEE27273.1]	1
CARHR001120	AT1G01320	121067	130577	AT1G01320	tetratricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27271.1]	1
CARHR001130	AT1G01310	120154	121130	AT1G01310	allergen V5/Tpx-1-related family protein [Source:EMBL;Acc:AEE27270.1]	1
CARHR001140	AT1G01305	119397	119997	AT1G01305	uncharacterized protein [Source:EMBL;Acc:AEE27269.1]	1
CARHR001150	AT1G01300	116943	118764	AT1G01300	aspartyl protease-like protein [Source:EMBL;Acc:AEE27268.1]	1
CARHR001180	AT1G01290	114286	116108	CNX3	Molybdopterin biosynthesis protein CNX3 [Source:EMBL;Acc:AEE27267.1]	1
CARHR001190	AT1G01280	112263	113947	CYP703A2	cytochrome P450, family 703, subfamily A, polypeptide 2 [Source:EMBL;Acc:AEE27265.1]	1
CARHR001200	AT1G01260	108946	111609	AT1G01260	transcription factor bHLH13 [Source:EMBL;Acc:AEE27264.1]	1
CARHR001210	AT1G01250	104491	105330	AT1G01250	ethylene-responsive transcription factor ERF023 [Source:EMBL;Acc:AEE27261.1]	1
CARHR001220	AT1G01240	99894	101834	AT1G01240	uncharacterized protein [Source:EMBL;Acc:AEE27260.1]	1
CARHR001230	AT1G01230	97456	99240	AT1G01230	ORMDL-like protein [Source:EMBL;Acc:AEE27257.1]	1
CARHR001240	AT1G01225	95987	97407	AT1G01225	NC domain-containing protein-like protein [Source:EMBL;Acc:AEE27256.1]	1
CARHR001250	AT1G01220	91376	95651	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase [Source:EMBL;Acc:AEE27255.1]	1
CARHR001260	AT1G01210	88898	89745	AT1G01210	DNA-directed RNA polymerase III subunit C11 [Source:EMBL;Acc:AEE27254.1]	1
CARHR001270	AT1G01200	86515	88213	ATRABA3	Rab family protein [Source:EMBL;Acc:AEE27253.1]	1
CARHR001280	AT1G01190	83045	84864	CYP78A8	cytochrome P450, family 78, subfamily A, polypeptide 8 [Source:EMBL;Acc:AEE27252.1]	1
CARHR001290	AT1G01180	75583	76758	AT1G01180	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein [Source:EMBL;Acc:AEE27251.1]	1
CARHR001300	AT1G01170	73931	74737	AT1G01170	uncharacterized protein [Source:EMBL;Acc:AEE27250.1]	1
CARHR001310	AT1G01160	72339	74096	GIF2	GRF1-interacting factor 2 [Source:EMBL;Acc:AEE27247.1]	1
CARHR001330	AT1G01140	64166	67625	CIPK9	CBL-interacting serine/threonine-protein kinase 9 [Source:EMBL;Acc:AEE27243.1]	1
CARHR001340	AT1G01120	57269	59167	KCS1	3-ketoacyl-CoA synthase 1 [Source:EMBL;Acc:AEE27241.1]	1
CARHR001350	AT1G01110	52239	54692	IQD18	protein IQ-domain 18 [Source:EMBL;Acc:AEE27238.1]	1
CARHR001370	AT1G01090	47485	49286	PDH-E1 ALPHA	pyruvate dehydrogenase E1 component subunit alpha [Source:EMBL;Acc:AEE27233.1]	1
CARHR001380	AT1G01080	45296	47019	AT1G01080	RNA recognition motif-containing protein [Source:EMBL;Acc:AEE27232.1]	1
CARHR001400	AT1G01070	38752	40944	AT1G01070	nodulin MtN21 /EamA-like transporter family protein [Source:EMBL;Acc:AEE27228.1]	1
CARHR001420	AT1G01060	33379	37871	LHY	protein late elongated hypocotyl [Source:EMBL;Acc:AEE27227.1]	1
CARHR001430	AT1G01050	31170	33153	AtPPa1	inorganic pyrophosphatase [Source:EMBL;Acc:AEE27222.1]	1
CARHR001440	AT4G21240	11322411	11323664	AT4G21240	putative F-box protein [Source:EMBL;Acc:AEE84431.1]	4
CARHR001460	AT1G01040	23146	31227	DCL1	endoribonuclease Dicer [Source:EMBL;Acc:AEE27220.1]	1
CARHR001480	AT1G01030	11649	13714	NGA3	B3 domain-containing transcription factor NGA3 [Source:EMBL;Acc:AEE27219.1]	1
CARHR001490	AT1G01020	5928	8737	ARV1	Arv1-like protein [Source:EMBL;Acc:AEE27218.1]	1
CARHR001500	AT1G01010	3631	5899	ANAC001	NAC domain-containing protein 1 [Source:EMBL;Acc:AEE27216.1]	1
CARHR001510	AT3G04430	1175506	1176986	anac049	NAC domain containing protein 49 [Source:EMBL;Acc:AEE74081.1]	3
CARHR001520	AT3G04420	1172746	1174467	anac048	NAC domain containing protein 48 [Source:EMBL;Acc:AEE74079.1]	3
CARHR001550	AT1G02260	440441	442877	AT1G02260	Divalent ion symporter [Source:EMBL;Acc:AEE27407.1]	1
CARHR001560	AT1G02270	443149	446235	AT1G02270	uncharacterized calcium-binding protein [Source:EMBL;Acc:AEE27408.1]	1
CARHR001570	AT2G41610	17347157	17348239	AT2G41610	uncharacterized protein [Source:EMBL;Acc:AEC10007.1]	2
CARHR001580	AT1G02280	448463	450426	ATTOC33	translocase of chloroplast 33 [Source:EMBL;Acc:AEE27410.1]	1
CARHR001590	AT1G02290	450527	452737	AT1G02290	uncharacterized protein [Source:EMBL;Acc:AEE27411.1]	1
CARHR001620	AT1G02310	458133	460696	MAN1	mannan endo-1,4-beta-mannosidase 1 [Source:EMBL;Acc:AEE27414.1]	1
CARHR001640	AT1G02330	462075	463612	AT1G02330	uncharacterized protein [Source:EMBL;Acc:AEE27416.1]	1
CARHR001650	AT1G02335	463855	464924	GL22	germin-like protein subfamily 2 member 2 [Source:EMBL;Acc:AEE27417.1]	1
CARHR001660	AT1G02340	465718	467844	HFR1	transcription factor HFR1 [Source:EMBL;Acc:AEE27418.1]	1
CARHR001680	AT1G02360	471990	473160	AT1G02360	putative chitinase [Source:EMBL;Acc:AEE27420.1]	1
CARHR001690	AT1G02370	474500	476511	AT1G02370	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27421.1]	1
CARHR001700	AT1G02380	477000	478971	AT1G02380	uncharacterized protein [Source:EMBL;Acc:AEE27422.1]	1
CARHR001710	AT1G02390	480852	483292	ATGPAT2	glycerol-3-phosphate acyltransferase [Source:EMBL;Acc:AEE27423.1]	1
CARHR001720	AT1G02400	486801	489577	ATGA2OX4	gibberellin 2-oxidase 6 [Source:EMBL;Acc:AEE27425.1]	1
CARHR001740	AT1G02410	490925	492926	AT1G02410	cytochrome c oxidase assembly protein CtaG / Cox11 [Source:EMBL;Acc:AEE27427.1]	1
CARHR001750	AT1G02420	493683	495158	AT1G02420	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27428.1]	1
CARHR001760	AT1G02430	495050	496062	ATARFD1B	ADP-ribosylation factor D1B [Source:EMBL;Acc:AEE27429.1]	1
CARHR001770	AT1G02450	497976	498516	NIMIN1	protein NIM1-interacting 1 [Source:EMBL;Acc:AEE27431.1]	1
CARHR001780	AT1G02460	504673	507204	AT1G02460	Pectin lyase-like protein [Source:EMBL;Acc:AEE27432.1]	1
CARHR001790	AT1G02470	511765	513624	AT1G02470	SRPBCC ligand-binding domain-containing protein [Source:EMBL;Acc:AEE27434.1]	1
CARHR001800	AT1G02475	513843	515404	AT1G02475	SRPBCC ligand-binding domain-containing protein [Source:EMBL;Acc:AEE27435.1]	1
CARHR001810	AT1G02500	518251	520437	MAT1	S-adenosylmethionine synthetase 1 [Source:EMBL;Acc:AEE27438.1]	1
CARHR001820	AT1G02510	520498	521668	KCO4	Outward rectifying potassium channel protein [Source:EMBL;Acc:AEE27439.1]	1
CARHR001850	AT1G02520	523651	528745	PGP11	P-glycoprotein 11 [Source:EMBL;Acc:AEE27440.1]	1
CARHR001860	AT1G02550	536483	537211	AT1G02550	plant invertase/pectin methylesterase inhibitor domain-containing protein [Source:EMBL;Acc:AEE27443.1]	1
CARHR001870	AT1G02560	537860	540109	NCLPP5	ATP-dependent Clp protease, protease subunit [Source:EMBL;Acc:AEE27444.1]	1
CARHR001880	AT1G02570	541335	542240	AT1G02570	uncharacterized protein [Source:EMBL;Acc:AEE27445.1]	1
CARHR001890	AT1G02580	544783	549202	MEA	histone-lysine N-methyltransferase MEDEA [Source:EMBL;Acc:AEE27447.1]	1
CARHR001900	AT1G02610	553050	555994	AT1G02610	RING/FYVE/PHD zinc finger-containing protein [Source:EMBL;Acc:AEE27449.1]	1
CARHR001910	AT4G02080	921454	922777	ASAR1	GTP-binding protein SAR1A [Source:EMBL;Acc:AEE82122.1]	4
CARHR001920	AT1G02630	560610	562424	AT1G02630	nucleoside transporter-like protein [Source:EMBL;Acc:AEE27451.1]	1
CARHR001930	AT1G02640	564205	567769	BXL2	beta-glucosidase [Source:EMBL;Acc:AEE27453.1]	1
CARHR001940	AT1G02660	571955	574981	AT1G02660	alpha/beta-hydrolase domain-containing protein [Source:EMBL;Acc:AEE27455.1]	1
CARHR001960	AT1G02680	580625	582310	TAF13	transcription initiation factor TFIID subunit D11 [Source:EMBL;Acc:AEE27457.1]	1
CARHR001970	AT5G38700	15489594	15490399	AT5G38700	uncharacterized protein [Source:EMBL;Acc:AED94351.1]	5
CARHR001980	AT5G61710	24799878	24800680	AT5G61710	uncharacterized protein [Source:EMBL;Acc:AED97508.1]	5
CARHR001990	AT1G02690	584260	587219	IMPA-6	importin alpha isoform 6 [Source:EMBL;Acc:AEE27458.1]	1
CARHR002000	AT1G02700	588329	589480	AT1G02700	uncharacterized protein [Source:EMBL;Acc:AEE27460.1]	1
CARHR002020	AT1G02720	591826	594236	GATL5	galacturonosyltransferase 5 [Source:EMBL;Acc:AEE27463.1]	1
CARHR002030	AT1G02730	594573	598657	ATCSLD5	1,4-beta-D-xylan synthase [Source:EMBL;Acc:AEE27464.1]	1
CARHR002040	AT1G02740	599416	602038	AT1G02740	mortality factor 4-like protein 1 [Source:EMBL;Acc:AEE27465.1]	1
CARHR002050	AT1G02750	602497	604292	AT1G02750	DEHYDRATION-INDUCED 19-like protein 2 [Source:EMBL;Acc:AEE27467.1]	1
CARHR002060	AT1G02780	607808	609465	emb2386	60S ribosomal protein L19-1 [Source:EMBL;Acc:AEE27469.1]	1
CARHR002080	AT1G02790	610391	612324	PGA4	polygalacturonase 4 [Source:EMBL;Acc:AEE27470.1]	1
CARHR002100	AT1G02800	613216	616191	ATCEL2	endoglucanase 1 [Source:EMBL;Acc:AEE27471.1]	1
CARHR002110	AT1G02810	618265	620480	AT1G02810	pectinesterase 7 [Source:EMBL;Acc:AEE27472.1]	1
CARHR002120	AT1G02813	620678	621289	AT1G02813	uncharacterized protein [Source:EMBL;Acc:AEE27473.1]	1
CARHR002130	AT1G02816	621461	622469	AT1G02816	uncharacterized protein [Source:EMBL;Acc:AEE27474.1]	1
CARHR002140	AT1G02820	623765	624475	AT1G02820	late embryogenesis abundant 3-like protein [Source:EMBL;Acc:AEE27475.1]	1
CARHR002150	AT1G02830	625145	625608	AT1G02830	large subunit ribosomal protein L22e [Source:EMBL;Acc:AEE27476.1]	1
CARHR002180	AT1G02840	626741	629819	SR34	Pre-mRNA-splicing factor SF2 [Source:EMBL;Acc:AEE27478.1]	1
CARHR002190	AT1G02850	630505	633259	BGLU11	beta glucosidase 11 [Source:EMBL;Acc:AEE27480.1]	1
CARHR002200	AT1G02860	635144	637262	NLA	E3 ubiquitin-protein ligase BAH1 [Source:EMBL;Acc:AEE27486.1]	1
CARHR002210	AT1G02870	637214	638677	AT1G02870	uncharacterized protein [Source:EMBL;Acc:AEE27487.1]	1
CARHR002230	AT1G02880	642752	644903	TPK1	thiamin pyrophosphokinase1 [Source:EMBL;Acc:AEE27491.1]	1
CARHR002240	AT1G02890	645092	651907	AT1G02890	AAA-type ATPase-like protein [Source:EMBL;Acc:AEE27492.1]	1
CARHR002250	AT1G02900	653765	654343	ATRALF1	rapid alkalinization factor 1 [Source:EMBL;Acc:AEE27494.1]	1
CARHR002260	AT1G02910	655577	658148	LPA1	tetratricopeptide repeat (TPR)-containing protein [Source:EMBL;Acc:AEE27495.1]	1
CARHR002270	AT1G02920	658657	659771	GST11	glutathione S-transferase 11 [Source:EMBL;Acc:AEE27496.1]	1
CARHR002280	AT1G02950	665152	666452	GSTF4	glutathione S-transferase [Source:EMBL;Acc:AEE27503.1]	1
CARHR002290	AT1G02960	666872	669837	AT1G02960	uncharacterized protein [Source:EMBL;Acc:AEE27506.1]	1
CARHR002300	AT1G02970	673306	676378	WEE1	Wee1-like protein kinase [Source:EMBL;Acc:AEE27508.1]	1
CARHR002310	AT1G02980	677869	681310	CUL2	cullin 2 [Source:EMBL;Acc:AEE27509.1]	1
CARHR002320	AT1G02990	681396	687315	AT1G02990	uncharacterized protein [Source:EMBL;Acc:AEE27510.1]	1
CARHR002330	AT1G03000	687890	692560	PEX6	peroxin 6 [Source:EMBL;Acc:AEE27513.1]	1
CARHR002340	AT1G03220	787122	788651	AT1G03220	aspartyl protease-like protein [Source:EMBL;Acc:AEE27546.1]	1
CARHR002350	AT1G03010	693480	696382	AT1G03010	Phototropic-responsive NPH3 family protein [Source:EMBL;Acc:AEE27514.1]	1
CARHR002360	AT1G03020	698207	698515	AT1G03020	monothiol glutaredoxin-S1 [Source:EMBL;Acc:AEE27515.1]	1
CARHR002370	AT1G03030	701478	703864	AT1G03030	P-loop containing nucleoside triphosphate hydrolase-like protein [Source:EMBL;Acc:AEE27517.1]	1
CARHR002380	AT1G03040	703906	706631	AT1G03040	transcription factor bHLH7 [Source:EMBL;Acc:AEE27518.1]	1
CARHR002390	AT1G03050	707726	710041	AT1G03050	putative clathrin assembly protein [Source:EMBL;Acc:AEE27520.1]	1
CARHR002400	AT1G03055	710018	711803	AT1G03055	uncharacterized protein [Source:EMBL;Acc:AEE27522.1]	1
CARHR002410	AT1G03060	712473	726891	SPI	putative transport protein [Source:EMBL;Acc:AEE27523.1]	1
CARHR002420	AT1G03070	729901	731557	AT1G03070	transmembrane BAX inhibitor motif-containing protein [Source:EMBL;Acc:AEE27525.1]	1
CARHR002430	AT1G03080	731611	738056	AT1G03080	kinase interacting (KIP1-like) protein [Source:EMBL;Acc:AEE27526.1]	1
CARHR002440	AT1G03090	739679	744184	MCCA	methylcrotonoyl-CoA carboxylase subunit alpha [Source:EMBL;Acc:AEE27528.1]	1
CARHR002450	AT1G03100	743885	746479	AT1G03100	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE27529.1]	1
CARHR002460	AT1G03110	749246	751963	TRM82	transducin/WD-40 repeat-containing protein [Source:EMBL;Acc:AEE27532.1]	1
CARHR002470	AT1G03140	754371	756303	AT1G03140	splicing factor Prp18-like protein [Source:EMBL;Acc:AEE27535.1]	1
CARHR002480	AT1G03130	753307	754198	PSAD-2	photosystem I reaction center subunit II-2 [Source:EMBL;Acc:AEE27534.1]	1
CARHR002490	AT1G03150	756414	758612	AT1G03150	peptide alpha-N-acetyltransferase [Source:EMBL;Acc:AEE27536.1]	1
CARHR002500	AT1G03160	761282	766158	FZL	FZO-like protein [Source:EMBL;Acc:AEE27538.1]	1
CARHR002510	AT1G03170	769632	770684	AT1G03170	uncharacterized protein [Source:EMBL;Acc:AEE27539.1]	1
CARHR002520	AT1G03180	773411	775344	AT1G03180	uncharacterized protein [Source:EMBL;Acc:AEE27541.1]	1
CARHR002530	AT1G03190	775527	780062	ATXPD	DNA repair helicase UVH6 [Source:EMBL;Acc:AEE27543.1]	1
CARHR002540	AT1G03210	782948	784240	AT1G03210	Phenazine biosynthesis PhzC/PhzF protein [Source:EMBL;Acc:AEE27545.1]	1
CARHR002550	AT1G03250	793353	795376	AT1G03250	uncharacterized protein [Source:EMBL;Acc:AEE27550.1]	1
CARHR002560	AT1G03260	795532	798463	AT1G03260	SNARE associated Golgi protein family [Source:EMBL;Acc:AEE27551.1]	1
CARHR002570	AT1G03270	799191	802436	AT1G03270	CBS domain-containing protein [Source:EMBL;Acc:AEE27552.1]	1
CARHR002580	AT1G03280	803035	807066	AT1G03280	transcription initiation factor TFIIE alpha subunit [Source:EMBL;Acc:AEE27553.1]	1
CARHR002590	AT1G03290	807361	810868	AT1G03290	uncharacterized protein [Source:EMBL;Acc:AEE27555.1]	1
CARHR002620	AT1G03310	813471	816749	ISA2	Isoamylase 2 [Source:EMBL;Acc:AEE27558.1]	1
CARHR002640	AT1G03330	817983	819563	AT1G03330	small nuclear ribonucleoprotein-like protein [Source:EMBL;Acc:AEE27560.1]	1
CARHR002720	AT1G03350	822638	824393	AT1G03350	BSD domain-containing protein [Source:EMBL;Acc:AEE27562.1]	1
CARHR002730	AT1G03360	824537	826358	ATRRP4	exosome complex component RRP4 [Source:EMBL;Acc:AEE27563.1]	1
CARHR002740	AT1G03365	826569	830383	AT1G03365	zinc ion binding protein [Source:EMBL;Acc:AEE27564.1]	1
CARHR002750	AT1G03370	830627	835361	AT1G03370	C2 calcium/lipid-binding and GRAM domain containing protein [Source:EMBL;Acc:AEE27565.1]	1
CARHR002760	AT1G03380	835785	840940	ATATG18G	autophagy 18G-like protein [Source:EMBL;Acc:AEE27566.1]	1
CARHR002770	AT1G03390	841033	842418	AT1G03390	HXXXD-type acyl-transferase-like protein [Source:EMBL;Acc:AEE27567.1]	1
